,num,r1,exp1,r2,exp2,r3,exp3,r4,exp4,r5,exp5,similar
0,1,TP,,TP,,TP,,TP,,TP,,True
1,1c,FP,,FP,,FP,,FP,,FP,,True
2,2,TP,,TP,,TP,,TP,,TP,,True
3,2c,FP,,FP,,FP,,FP,,FP,,True
4,4,FN,,FN,,FN,,FN,,FN,,True
5,4c,TN,,TN,,TN,,TN,,TN,,True
6,6,TP,,TP,,TP,,TP,,TP,,True
7,6c,FP,,FP,,FP,,FP,,FP,,False
8,8,TP,,TP,,TP,,TP,,TP,,True
9,8c,FP,,FP,,TN,,FP,,FP,,False
10,10,TP,,TP,,TP,,TP,,TP,,True
11,10c,TN,,TN,,TN,,FP,,FP,,False
12,18,FN,,FN,,FN,,TP,,FN,,False
13,18c,TN,,TN,,TN,,TN,,TN,,True
14,19,TP,,TP,,TP,,TP,,TP,,False
15,19c,TN,,TN,,TN,,TN,,TN,,True
16,22,TP,,TP,,TP,,TP,,TP,,True
17,22c,FP,,FP,,FP,,FP,,FP,,True
18,23,TP,,TP,,TP,,TP,,TP,,True
19,23c,TN,,TN,,TN,,,,TN,,False
20,24,TP,,TP,,TP,,TP,,TP,,True
21,24c,FP,,FP,,FP,,FP,,FP,,True
22,26,TP,,TP,,TP,,TP,,TP,,True
23,26c,TN,,TN,,TN,,TN,,TN,,True
24,28,TP,,TP,,TP,,TP,,TP,,True
25,28c,FP,,FP,,FP,,FP,,FP,,False
26,30,TP,,TP,,TP,,TP,,TP,,True
27,30c,FP,,FP,,FP,,FP,,FP,,True
28,31,TP,,TP,,TP,,TP,,TP,,True
29,31c,FP,,FP,,FP,,FP,,FP,,False
30,33,TP,,TP,,TP,,TP,,TP,,True
31,33c,FP,,FP,,FP,,FP,,FP,,False
32,34.1,TP,,TP,,TP,,TP,,TP,,True
33,34.1c,TN,,TN,,TN,,TN,,TN,,True
34,39,TP,,TP,,TP,,TP,,TP,,True
35,39c,TN,,TN,,TN,,TN,,TN,,True
36,40.1,FN,,TP,,TP,,TP,,TP,,False
37,40.1c,FP,,FP,,FP,,FP,,FP,,True
38,42,TP,,TP,,TP,,TP,,TP,,True
39,42c,TN,,TN,,TN,,TN,,TN,,True
40,43,TP,,TP,,TP,,TP,,TP,,True
41,43c,FP,,FP,,FP,,FP,,FP,,False
42,44,TP,,TP,,TP,,TP,,TP,,True
43,44c,FP,,FP,,FP,,FP,,FP,,True
44,47,TP,,FN,,TP,,TP,,TP,,False
45,47c,FP,,FP,,FP,,FP,,FP,,True
46,48,TP,,TP,,TP,,TP,,TP,,True
47,48c,FP,,FP,,FP,,FP,,FP,,False
48,49,TP,,TP,,TP,,TP,,TP,,True
49,49c,FP,,FP,,FP,,FP,,FP,,True
50,50,TP,,TP,,TP,,TP,,TP,,True
51,50c,FP,,FP,,FP,,FP,,FP,,True
52,153,TP,,TP,,TP,,TP,,TP,,True
53,153c,FP,,FP,,FP,,FP,,FP,,True
54,226,TP,,TP,,TP,,TP,,TP,,True
55,226c,FP,,FP,,FP,,FP,,FP,,True
56,930,TP,,TP,,TP,,TP,,TP,,True
57,930c,TN,,TN,,TN,,TN,,TN,,True
58,1732,TP,,TP,,TP,,TP,,TP,,True
59,1732c,FP,,FP,,FP,,FP,,FP,,False
60,1933,TP,,TP,,TP,,TP,,TP,,True
61,1933c,FP,,FP,,FP,,FP,,FP,,True
62,2750,TP,,TP,,TP,,TP,,TP,,True
63,2750c,FP,,FP,,FP,,FP,,TN,,False
64,3010,FN,,FN,,FN,,FN,,FN,,True
65,3010c,TN,,TN,,TN,,TN,,TN,,True
66,3046,TP,,TP,,TP,,TP,,TP,,True
67,3046c,FP,,FP,,FP,,FP,,FP,,True
68,3893,TP,,TP,,TP,,TP,,TP,,True
69,3893c,FP,,FP,,FP,,FP,,FP,,True
70,4617,FN,,FN,,FN,,FN,,FN,,True
71,4617c,FP,,FP,,FP,,FP,,FP,,True
72,4714,FN,,FN,,FN,,FN,,FN,,True
73,4714c,FP,,FP,,FP,,FP,,FP,,True
74,4780,TP,,TP,,TP,,TP,,TP,,True
75,4780c,TN,,TN,,TN,,TN,,TN,,True
