,num,r1,exp1,r2,exp2,r3,exp3,r4,exp4,r5,exp5,similar
0,1,TP,,TP,,TP,,TP,,TP,,True
1,1c,TN,,TN,,TN,,TN,,TN,,True
2,2,TP,,TP,,TP,,TP,,TP,,True
3,2c,FP,,FP,,FP,,FP,,FP,,True
4,4,TP,,TP,,FN,,TP,,TP,,False
5,4c,TN,,TN,,TN,,FP,,TN,,False
6,6,TP,,TP,,TP,,TP,,TP,,True
7,6c,FP,,FP,,FP,,FP,,FP,,True
8,8c,TN,,TN,,TN,,TN,,TN,,True
9,8,TP,,TP,,TP,,TP,,TP,,True
10,10,TP,,TP,,TP,,TP,,TP,,True
11,10c,TN,,TN,,TN,,TN,,TN,,True
12,18c,FP,,FP,,FP,,FP,,FP,,True
13,18,TP,,TP,,TP,,TP,,TP,,True
14,19,FN,,FN,,FN,,FN,,FN,,True
15,19c,TN,,TN,,TN,,TN,,TN,,True
16,22,TP,,TP,,TP,,TP,,TP,,True
17,22c,FP,,FP,,FP,,FP,,FP,,True
18,23,TP,,TP,,TP,,TP,,TP,,True
19,23c,FP,,FP,,FP,,FP,,FP,,True
20,24,TP,,TP,,TP,,TP,,TP,,True
21,24c,FP,,FP,,FP,,FP,,FP,,True
22,26,TP,,TP,,TP,,TP,,TP,,True
23,26c,TN,,FP,,TN,,FP,,FP,,False
24,28,TP,,TP,,TP,,TP,,TP,,True
25,28c,FP,,FP,,FP,,FP,,FP,,True
26,30,TP,,TP,,TP,,TP,,TP,,True
27,30c,FP,,FP,,FP,,FP,,FP,,False
28,31,TP,,TP,,TP,,TP,,TP,,True
29,31c,TN,,TN,,TN,,TN,,TN,,True
30,33,TP,,TP,,TP,,TP,,TP,,False
31,33c,FP,,FP,,FP,,FP,,FP,,True
32,34.1,TP,,TP,,TP,,TP,,TP,,True
33,34.1c,FP,,FP,,FP,,FP,,FP,,False
34,39,TP,,TP,,TP,,TP,,TP,,True
35,39c,FP,,FP,,FP,,FP,,FP,,True
36,40.1,TP,,FN,,FN,,FN,,FN,,False
37,42,TP,,TP,,TP,,TP,,TP,,True
38,42c,FP,,FP,,FP,,FP,,FP,,True
39,43,TP,,TP,,TP,,TP,,TP,,True
40,43c,FP,,FP,,FP,,FP,,FP,,True
41,44,TP,,TP,,TP,,TP,,TP,,True
42,44c,FP,,FP,,FP,,FP,,FP,,True
43,47,TP,,TP,,TP,,TP,,TP,,False
44,47c,FP,,FP,,FP,,FP,,FP,,True
45,48,TP,,TP,,TP,,TP,,TP,,True
46,48c,FP,,FP,,FP,,FP,,FP,,True
47,49,TP,,TP,,TP,,TP,,TP,,True
48,49c,FP,,FP,,FP,,FP,,FP,,True
49,50,TP,,TP,,TP,,TP,,TP,,True
50,50c,FP,,FP,,FP,,FP,,FP,,True
51,153,TP,,TP,,TP,,TP,,TP,,True
52,153c,FP,,FP,,FP,,FP,,FP,,True
53,226,TP,,TP,,TP,,TP,,TP,,True
54,226c,TN,,TN,,TN,,TN,,TN,,True
55,930,TP,,TP,,TP,,TP,,TP,,True
56,930c,TN,,TN,,TN,,TN,,TN,,True
57,1732,TP,,TP,,TP,,TP,,TP,,True
58,1732c,FP,,FP,,FP,,FP,,FP,,True
59,1933,TP,,TP,,TP,,TP,,TP,,True
60,1933c,FP,,FP,,FP,,FP,,FP,,True
61,2750,TP,,TP,,TP,,TP,,FN,,False
62,2750c,TN,,TN,,TN,,TN,,TN,,True
63,3010,TP,,TP,,TP,,TP,,TP,,True
64,3010c,TN,,TN,,TN,,TN,,TN,,True
65,3046,TP,,TP,,TP,,TP,,TP,,True
66,3046c,FP,,FP,,FP,,FP,,FP,,True
67,3893,TP,,TP,,TP,,TP,,TP,,True
68,3893c,TN,,TN,,TN,,TN,,TN,,True
69,4617,FN,,FN,,FN,,FN,,FN,,True
70,4617c,TN,,TN,,TN,,TN,,TN,,True
71,4714,FN,,FN,,FN,,FN,,FN,,True
72,4714c,FP,,FP,,FP,,FP,,FP,,True
73,4780,TP,,TP,,TP,,TP,,TP,,True
74,4780c,TN,,TN,,TN,,TN,,TN,,True
75,40.1c,FP,,FP,,FP,,FP,,FP,,True
