,num,r1,exp1,r2,exp2,r3,exp3,r4,exp4,r5,exp5,similar
0,1,TP,,TP,,TP,,TP,,TP,,True
1,2,TP,,TP,,TP,,TP,,TP,,True
2,4,FN,,FN,,FN,,FN,,FN,,True
3,6,TP,,TP,,TP,,TP,,TP,,True
4,8,TP,,TP,,TP,,TP,,TP,,True
5,10,TP,,TP,,TP,,TP,,TP,,True
6,18,TP,,TP,,TP,,TP,,TP,,True
7,19,TP,,TP,,TP,,TP,,TP,,False
8,22,FN,,FN,,FN,,TP,,FN,,False
9,23,TP,,TP,,TP,,TP,,TP,,True
10,24,TP,,TP,,TP,,TP,,TP,,True
11,26,TP,,TP,,TP,,TP,,TP,,True
12,28,FN,,FN,,FN,,FN,,FN,,True
13,30,TP,,TP,,TP,,TP,,TP,,True
14,31,TP,,TP,,TP,,TP,,TP,,True
15,33,FN,,FN,,FN,,FN,,FN,,True
16,34.1,FN,,FN,,TP,,TP,,FN,,False
17,39,TP,,TP,,TP,,TP,,TP,,True
18,40.1,FN,,FN,,FN,,FN,,FN,,True
19,42,TP,,TP,,TP,,TP,,TP,,True
20,43,TP,,TP,,TP,,TP,,TP,,True
21,44,TP,,TP,,TP,,TP,,TP,,True
22,47,FN,,FN,,FN,,FN,,FN,,False
23,48,TP,,TP,,TP,,TP,,TP,,True
24,49,TP,,TP,,TP,,TP,,TP,,True
25,50,TP,,TP,,TP,,TP,,TP,,True
26,153,TP,,TP,,TP,,TP,,TP,,True
27,226,TP,,TP,,TP,,TP,,TP,,True
28,930,TP,,TP,,TP,,TP,,TP,,True
29,1732,TP,,TP,,TP,,TP,,TP,,True
30,1933,TP,,TP,,TP,,TP,,TP,,True
31,2750,FN,,TP,,FN,,FN,,FN,,False
32,3010,FN,,FN,,FN,,FN,,FN,,True
33,3046,TP,,TP,,TP,,TP,,TP,,True
34,3893,TP,,TP,,TP,,TP,,TP,,True
35,4617,FN,,FN,,FN,,FN,,FN,,True
36,4714,FN,,FN,,FN,,FN,,FN,,True
37,4780,TP,,TP,,TP,,TP,,TP,,True
38,1c,TN,,TN,,TN,,TN,,TN,,True
39,2c,FP,,FP,,FP,,FP,,FP,,True
40,4c,TN,,TN,,TN,,TN,,TN,,True
41,6c,FP,,FP,,FP,,FP,,FP,,True
42,8c,TN,,TN,,TN,,TN,,TN,,False
43,10c,FP,,TN,,TN,,TN,,TN,,False
44,18c,FP,,FP,,FP,,FP,,FP,,True
45,19c,TN,,TN,,TN,,TN,,TN,,True
46,22c,TN,,TN,,TN,,TN,,TN,,False
47,23c,TN,,TN,,TN,,TN,,TN,,True
48,24c,FP,,FP,,FP,,FP,,FP,,True
49,26c,TN,,TN,,TN,,FP,,TN,,False
50,28c,TN,,TN,,TN,,TN,,TN,,True
51,30c,,,FP,,FP,,FP,,FP,,True
52,31c,FP,,FP,,FP,,FP,,FP,,True
53,33c,TN,,TN,,TN,,TN,,TN,,True
54,34.1c,FP,,FP,,FP,,FP,,FP,,True
55,39c,FP,,FP,,FP,,FP,,FP,,True
56,40.1c,FP,,FP,,FP,,FP,,FP,,True
57,42c,TN,,TN,,TN,,TN,,TN,,True
58,43c,FP,,FP,,FP,,FP,,FP,,True
59,44c,FP,,FP,,FP,,FP,,FP,,True
60,47c,FP,,FP,,FP,,FP,,FP,,True
61,48c,FP,,FP,,FP,,FP,,FP,,True
62,49c,FP,,FP,,FP,,FP,,FP,,True
63,50c,FP,,FP,,FP,,FP,,FP,,True
64,153c,FP,,FP,,FP,,FP,,FP,,True
65,226c,TN,,TN,,TN,,TN,,TN,,False
66,930c,TN,,TN,,TN,,TN,,TN,,True
67,1732c,TN,,TN,,TN,,TN,,TN,,True
68,1933c,FP,,FP,,FP,,FP,,FP,,True
69,2750c,FP,,TN,,TN,,TN,,TN,,False
70,3010c,TN,,TN,,TN,,TN,,TN,,True
71,3046c,FP,,FP,,FP,,FP,,FP,,False
72,3893c,TN,,TN,,TN,,TN,,TN,,True
73,4617c,TN,,FP,,TN,,TN,,TN,,False
74,4714c,FP,,FP,,FP,,FP,,FP,,True
75,4780c,TN,,TN,,TN,,TN,,TN,,True
