,num,r1,exp1,r2,exp2,r3,exp3,r4,exp4,r5,exp5,similar
0,1988,TP,,TP,,TP,,TP,,TP,,True
1,1988c,FP,,FP,,FP,,FP,,FP,,False
2,4276,FN,,FN,,FN,,FN,,FN,,True
3,4276c,TN,,TN,,TN,,TN,,TN,,True
4,7132,TP,,TP,,TP,,TP,,TP,,False
5,7132c,FP,,FP,,FP,,FP,,FP,,True
6,501,TP,,TP,,TP,,TP,,TP,,True
7,501c,FP,,FP,,FP,,FP,,FP,,True
8,3686,TP,,TP,,TP,,TP,,TP,,True
9,3686c,TN,,TN,,TN,,TN,,TN,,True
10,375,TP,,TP,,TP,,TP,,TP,,True
11,375c,TN,,TN,,TN,,TN,,TN,,True
12,479,FN,,FN,,FN,,FN,,FN,,True
13,479c,FP,,FP,,TN,,FP,,FP,,False
14,5704,FN,,FN,,FN,,FN,,FN,,True
15,5704c,FP,,FP,,FP,,FP,,FP,,True
16,2971,FN,,FN,,TP,,TP,,FN,,False
17,2971c,TN,,TN,,TN,,TN,,TN,,True
18,524,TP,,TP,,TP,,TP,,TP,,True
19,524c,FP,,FP,,FP,,FP,,FP,,False
20,1766,FN,,FN,,FN,,FN,,FN,,True
21,1766c,TN,,TN,,TN,,TN,,TN,,True
22,937,TP,,TP,,TP,,TP,,TP,,True
23,937c,FP,,FP,,FP,,FP,,FP,,False
24,3531,TP,,TP,,TP,,TP,,TP,,True
25,3531c,TN,,TN,,TN,,TN,,TN,,True
26,1083,TP,,TP,,TP,,TP,,TP,,True
27,1083c,FP,,FP,,FP,,FP,,FP,,True
28,674,TP,,TP,,TP,,TP,,TP,,True
29,674c,FP,,FP,,FP,,FP,,TN,,False
