,num,r1,exp1,r2,exp2,r3,exp3,r4,exp4,r5,exp5,similar
0,4780,TP,,TP,,TP,,TP,,TP,,True
1,1,TP,,TP,,TP,,TP,,TP,,True
2,2,TP,,TP,,TP,,TP,,TP,,True
3,4,TP,,TP,,TP,,TP,,TP,,True
4,6,TP,,TP,,TP,,TP,,TP,,False
5,8,TP,,TP,,TP,,TP,,TP,,True
6,10,TP,,TP,,TP,,TP,,TP,,True
7,18,FN,,FN,,FN,,FN,,FN,,True
8,19,FN,,FN,,FN,,FN,,FN,,True
9,22,FN,,FN,,TP,,FN,,TP,,False
10,23,TP,,TP,,TP,,TP,,TP,,True
11,24,TP,,TP,,TP,,TP,,TP,,True
12,26,FN,,FN,,FN,,FN,,FN,,True
13,28,FN,,FN,,FN,,FN,,FN,,True
14,30,TP,,TP,,TP,,TP,,TP,,True
15,31,FN,,FN,,FN,,FN,,FN,,True
16,33,FN,,FN,,FN,,FN,,FN,,True
17,34.1,FN,,FN,,FN,,FN,,FN,,True
18,39,TP,,TP,,TP,,TP,,TP,,True
19,40.1,FN,,FN,,FN,,FN,,FN,,True
20,42,TP,,TP,,TP,,TP,,TP,,True
21,43,TP,,TP,,TP,,TP,,TP,,True
22,44,TP,,TP,,TP,,TP,,TP,,True
23,47,FN,,FN,,FN,,FN,,FN,,True
24,48,FN,,FN,,FN,,FN,,FN,,True
25,49,FN,,FN,,FN,,FN,,FN,,True
26,50,TP,,TP,,TP,,TP,,TP,,True
27,153,FN,,FN,,FN,,FN,,FN,,True
28,226,FN,,FN,,FN,,FN,,FN,,True
29,930,FN,,FN,,FN,,FN,,FN,,True
30,1732,TP,,TP,,TP,,TP,,TP,,True
31,1933,TP,,TP,,TP,,TP,,TP,,True
32,1933c,TN,,TN,,TN,,TN,,TN,,True
33,2750,FN,,FN,,TP,,FN,,FN,,False
34,2750c,TN,,TN,,TN,,TN,,TN,,True
35,3010,FN,,FN,,FN,,FN,,FN,,True
36,3010c,TN,,TN,,TN,,TN,,TN,,True
37,3046,TP,,TP,,TP,,TP,,TP,,True
38,3046c,FP,,FP,,FP,,FP,,FP,,True
39,3893,TP,,TP,,TP,,TP,,TP,,True
40,3893c,TN,,TN,,TN,,TN,,TN,,True
41,4617,FN,,FN,,FN,,FN,,FN,,True
42,4617c,TN,,TN,,TN,,TN,,TN,,True
43,4714,FN,,FN,,FN,,FN,,FN,,True
44,4714c,TN,,TN,,TN,,TN,,TN,,True
45,4780c,TN,,TN,,TN,,TN,,TN,,True
46,1c,TN,,TN,,TN,,TN,,TN,,True
47,2c,TN,,TN,,TN,,FP,,TN,,False
48,4c,TN,,TN,,TN,,TN,,TN,,True
49,6c,FP,,FP,,FP,,FP,,FP,,True
50,8c,TN,,TN,,TN,,TN,,TN,,True
51,10c,TN,,TN,,TN,,TN,,TN,,True
52,18c,TN,,TN,,TN,,TN,,TN,,True
53,19c,TN,,TN,,TN,,TN,,TN,,True
54,22c,TN,,TN,,TN,,TN,,TN,,True
55,24c,FP,,FP,,FP,,FP,,FP,,True
56,26c,TN,,TN,,TN,,TN,,TN,,True
57,28c,TN,,TN,,TN,,TN,,TN,,True
58,30c,FP,,FP,,FP,,FP,,FP,,True
59,31c,TN,,TN,,TN,,TN,,TN,,True
60,33c,TN,,TN,,TN,,TN,,TN,,True
61,34.1c,TN,,TN,,TN,,TN,,TN,,True
62,39c,FP,,FP,,FP,,FP,,FP,,True
63,40.1c,TN,,TN,,TN,,TN,,TN,,True
64,42c,TN,,TN,,TN,,TN,,TN,,True
65,43c,FP,,FP,,FP,,FP,,FP,,False
66,44c,FP,,FP,,FP,,FP,,FP,,True
67,47c,TN,,TN,,FP,,FP,,FP,,False
68,48c,TN,,TN,,TN,,TN,,TN,,True
69,49c,TN,,TN,,TN,,TN,,TN,,True
70,50c,TN,,TN,,TN,,TN,,TN,,True
71,153c,FP,,FP,,FP,,FP,,FP,,True
72,226c,TN,,TN,,TN,,TN,,TN,,True
73,930c,TN,,TN,,TN,,TN,,TN,,True
74,1732c,FP,,FP,,TN,,TN,,TN,,False
75,23c,TN,,FP,,TN,,TN,,TN,,False
